departure_terminal,arrival_terminal,vessel_name,scheduled_departure_year,scheduled_departure_month,scheduled_departure_day,scheduled_departure_hour,scheduled_departure_minute,actual_departure_year,actual_departure_month,actual_departure_day,actual_departure_hour,actual_departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,01,07,00,2017,02,01,07,05,2017,02,01,08,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,01,09,00,2017,02,01,09,01,2017,02,01,10,32
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,01,11,00,2017,02,01,11,00,2017,02,01,12,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,01,13,00,2017,02,01,13,04,2017,02,01,14,30
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,01,15,00,2017,02,01,15,02,2017,02,01,16,28
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,01,17,00,2017,02,01,16,59,2017,02,01,18,32
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,01,19,00,2017,02,01,19,00,2017,02,01,20,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,01,21,00,2017,02,01,21,02,2017,02,01,22,24
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,01,07,00,2017,02,01,07,02,2017,02,01,08,30
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,01,09,00,2017,02,01,09,00,2017,02,01,10,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,01,11,00,2017,02,01,11,02,2017,02,01,12,34
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,01,13,00,2017,02,01,13,03,2017,02,01,14,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,01,15,00,2017,02,01,15,04,2017,02,01,16,32
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,01,17,00,2017,02,01,17,11,2017,02,01,18,34
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,01,19,00,2017,02,01,19,01,2017,02,01,20,34
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,01,21,00,2017,02,01,21,01,2017,02,01,22,28
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,02,07,00,2017,02,02,07,04,2017,02,02,08,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,02,09,00,2017,02,02,09,03,2017,02,02,10,30
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,02,11,00,2017,02,02,11,02,2017,02,02,12,34
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,02,13,00,2017,02,02,13,07,2017,02,02,14,36
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,02,15,00,2017,02,02,15,12,2017,02,02,16,38
