departure_terminal,arrival_terminal,vessel_name,scheduled_departure_year,scheduled_departure_month,scheduled_departure_day,scheduled_departure_hour,scheduled_departure_minute,actual_departure_year,actual_departure_month,actual_departure_day,actual_departure_hour,actual_departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,1,6,0,2017,7,1,6,7,2017,7,1,7,34
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,1,7,0,2017,7,1,7,1,2017,7,1,8,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,1,8,0,2017,7,1,8,9,2017,7,1,9,34
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,1,9,0,2017,7,1,9,1,2017,7,1,10,36
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,1,10,0,2017,7,1,10,2,2017,7,1,11,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,1,11,0,2017,7,1,11,5,2017,7,1,12,36
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,1,14,0,2017,7,1,14,3,2017,7,1,15,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,1,15,0,2017,7,1,15,1,2017,7,1,16,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,1,16,0,2017,7,1,16,2,2017,7,1,17,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,1,17,0,2017,7,1,17,1,2017,7,1,18,30
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,1,18,0,2017,7,1,18,0,2017,7,1,19,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,1,19,0,2017,7,1,19,25,2017,7,1,20,52
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,1,20,0,2017,7,1,20,2,2017,7,1,21,24
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,1,21,0,2017,7,1,21,1,2017,7,1,22,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,1,6,0,2017,7,1,6,3,2017,7,1,7,38
