departure_terminal,arrival_terminal,vessel_name,scheduled_departure_year,scheduled_departure_month,scheduled_departure_day,scheduled_departure_hour,scheduled_departure_minute,actual_departure_year,actual_departure_month,actual_departure_day,actual_departure_hour,actual_departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,01,09,00,2017,06,01,09,04,2017,06,01,10,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,01,10,00,2017,06,01,10,07,2017,06,01,11,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,01,11,00,2017,06,01,11,04,2017,06,01,12,32
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,06,01,12,00,2017,06,01,12,03,2017,06,01,13,34
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,01,13,00,2017,06,01,13,03,2017,06,01,14,28
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,01,14,00,2017,06,01,14,06,2017,06,01,15,26
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,01,15,00,2017,06,01,14,58,2017,06,01,16,28
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,06,01,16,00,2017,06,01,16,00,2017,06,01,17,30
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,01,17,00,2017,06,01,16,59,2017,06,01,18,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,01,19,00,2017,06,01,19,00,2017,06,01,20,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,01,21,00,2017,06,01,20,59,2017,06,01,22,28
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,01,07,00,2017,06,01,07,05,2017,06,01,08,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,01,08,00,2017,06,01,08,04,2017,06,01,09,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,01,09,00,2017,06,01,09,01,2017,06,01,10,30
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,01,11,00,2017,06,01,11,05,2017,06,01,12,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,01,12,00,2017,06,01,12,06,2017,06,01,13,36
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,01,13,00,2017,06,01,13,01,2017,06,01,14,30
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,06,01,14,00,2017,06,01,14,01,2017,06,01,15,28
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,01,15,00,2017,06,01,14,59,2017,06,01,16,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,01,16,00,2017,06,01,16,02,2017,06,01,17,34
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,01,17,00,2017,06,01,17,01,2017,06,01,18,28
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,06,01,18,00,2017,06,01,18,01,2017,06,01,19,24
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,01,19,00,2017,06,01,19,01,2017,06,01,20,28
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,01,21,00,2017,06,01,20,58,2017,06,01,22,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,02,07,00,2017,06,02,07,00,2017,06,02,08,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,02,09,00,2017,06,02,09,08,2017,06,02,10,36
